%time,field.finger1,field.finger2,field.finger3
1503852817189995811,19043.0,14070.0,14070.0
1503852817223002761,19036.0,14066.0,14066.0
1503852817256531070,19046.0,14070.0,14070.0
1503852817290375670,19066.0,14074.0,14074.0
1503852817323827582,19044.0,14049.0,14049.0
1503852817356470719,19064.0,14077.0,14077.0
1503852817389994071,19061.0,14074.0,14074.0
1503852817423448079,19051.0,14072.0,14072.0
1503852817456934921,19060.0,14043.0,14043.0
1503852817491005427,19047.0,14070.0,14070.0
1503852817523310681,19045.0,14067.0,14067.0
1503852817556644871,19050.0,14050.0,14050.0
1503852817590775852,19058.0,14052.0,14052.0
1503852817623897668,19064.0,14048.0,14048.0
1503852817656614802,19056.0,14049.0,14049.0
1503852817691007945,19048.0,14046.0,14046.0
1503852817723816348,19071.0,14055.0,14055.0
1503852817756168967,19066.0,14055.0,14055.0
1503852817789950786,19038.0,14050.0,14050.0
1503852817824080223,19073.0,14049.0,14049.0
1503852817856290769,19049.0,14048.0,14048.0
1503852817890160096,19040.0,14042.0,14042.0
1503852817924683402,19054.0,14043.0,14043.0
1503852817956897859,19066.0,14048.0,14048.0
1503852817990337539,19054.0,14051.0,14051.0
1503852818024537857,19058.0,14044.0,14044.0
1503852818056180271,19060.0,14042.0,14042.0
1503852818089911398,19058.0,14055.0,14055.0
1503852818123876862,19063.0,14053.0,14053.0
1503852818156614873,19057.0,14047.0,14047.0
1503852818190049470,19042.0,14049.0,14049.0
1503852818222920435,19045.0,14051.0,14051.0
1503852818256603058,19068.0,14043.0,14043.0
1503852818290109800,19047.0,14040.0,14040.0
1503852818324354502,19064.0,14045.0,14045.0
1503852818356653154,19060.0,14064.0,14064.0
1503852818390646177,19040.0,14044.0,14044.0
1503852818425038428,19056.0,14051.0,14051.0
1503852818457006869,19040.0,14050.0,14050.0
1503852818490153316,19059.0,14042.0,14042.0
1503852818523957189,19053.0,14051.0,14051.0
1503852818556749986,19053.0,14056.0,14056.0
1503852818590723036,19053.0,14046.0,14046.0
1503852818624229597,19045.0,14068.0,14068.0
1503852818656466079,19062.0,14052.0,14052.0
1503852818690278361,19044.0,14057.0,14057.0
1503852818723989170,19041.0,14057.0,14057.0
1503852818757351399,19047.0,14055.0,14055.0
1503852818790129639,19045.0,14054.0,14054.0
1503852818822952478,19052.0,14045.0,14045.0
1503852818856633936,19040.0,14057.0,14057.0
1503852818890706171,19045.0,14048.0,14048.0
1503852818923987621,19047.0,14048.0,14048.0
1503852818956640183,19045.0,14049.0,14049.0
1503852818990202501,19049.0,14058.0,14058.0
1503852819022917632,19046.0,14053.0,14053.0
1503852819056628117,19051.0,14049.0,14049.0
1503852819090878797,19047.0,14049.0,14049.0
1503852819123427120,19051.0,14049.0,14049.0
1503852819157445970,19039.0,14042.0,14042.0
1503852819190502932,19050.0,14050.0,14050.0
1503852819223206827,19040.0,14059.0,14059.0
1503852819256598445,19052.0,14052.0,14052.0
1503852819291179014,19043.0,14050.0,14050.0
1503852819323750097,19055.0,14048.0,14048.0
