%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1
1503852812252336446,sensor data,2,1,1,19071,14052
1503852812272282013,sensor data,2,1,1,19054,14055
1503852812292045107,sensor data,2,1,1,19040,14062
1503852812312249702,sensor data,2,1,1,19056,14052
1503852812332154531,sensor data,2,1,1,19046,14055
1503852812352166380,sensor data,2,1,1,19043,14050
1503852812371954752,sensor data,2,1,1,19059,14055
1503852812392110083,sensor data,2,1,1,19056,14047
1503852812412253433,sensor data,2,1,1,19043,14059
1503852812432018621,sensor data,2,1,1,19064,14045
1503852812451999683,sensor data,2,1,1,19046,14048
1503852812472302646,sensor data,2,1,1,19056,14046
1503852812492425685,sensor data,2,1,1,19053,14048
1503852812512212719,sensor data,2,1,1,19049,14049
1503852812532080588,sensor data,2,1,1,19059,14050
1503852812551608177,sensor data,2,1,1,19063,14045
1503852812572599123,sensor data,2,1,1,19060,14049
1503852812591901185,sensor data,2,1,1,19053,14045
1503852812612514713,sensor data,2,1,1,19073,14052
1503852812632165410,sensor data,2,1,1,19055,14049
1503852812652307828,sensor data,2,1,1,19050,14046
1503852812671854058,sensor data,2,1,1,19066,14056
1503852812691803511,sensor data,2,1,1,19063,14057
1503852812711886570,sensor data,2,1,1,19047,14052
1503852812732066218,sensor data,2,1,1,19057,14048
1503852812752209487,sensor data,2,1,1,19055,14050
1503852812772102259,sensor data,2,1,1,19049,14052
1503852812791981643,sensor data,2,1,1,19070,14043
1503852812812304297,sensor data,2,1,1,19039,14050
1503852812832106662,sensor data,2,1,1,19045,14055
1503852812851986207,sensor data,2,1,1,19046,14053
1503852812872256646,sensor data,2,1,1,19050,14049
1503852812892044172,sensor data,2,1,1,19052,14052
1503852812912187852,sensor data,2,1,1,19055,14052
1503852812932920445,sensor data,2,1,1,19061,14050
1503852812952348494,sensor data,2,1,1,19045,14054
1503852812972024955,sensor data,2,1,1,19057,14047
1503852812992351870,sensor data,2,1,1,19049,14047
1503852813012219611,sensor data,2,1,1,19045,14053
1503852813032057568,sensor data,2,1,1,19045,14043
1503852813052090274,sensor data,2,1,1,19046,14059
1503852813071832377,sensor data,2,1,1,19047,14045
1503852813095008846,sensor data,2,1,1,19067,14047
1503852813112447094,sensor data,2,1,1,19054,14055
1503852813132372002,sensor data,2,1,1,19049,14055
1503852813150904556,sensor data,2,1,1,19049,14047
1503852813170730672,sensor data,2,1,1,19048,14054
1503852813190737214,sensor data,2,1,1,19045,14057
1503852813210756995,sensor data,2,1,1,19050,14053
1503852813230806659,sensor data,2,1,1,19060,14054
1503852813250699747,sensor data,2,1,1,19042,14048
1503852813270821835,sensor data,2,1,1,19048,14041
1503852813291103747,sensor data,2,1,1,19065,14049
1503852813311018027,sensor data,2,1,1,19045,14054
1503852813331389393,sensor data,2,1,1,19043,14054
1503852813352406678,sensor data,2,1,1,19044,14047
1503852813372390780,sensor data,2,1,1,19055,14044
1503852813392561877,sensor data,2,1,1,19050,14053
1503852813410928186,sensor data,2,1,1,19054,14050
1503852813431014289,sensor data,2,1,1,19061,14049
1503852813451106202,sensor data,2,1,1,19052,14049
1503852813472081711,sensor data,2,1,1,19055,14053
1503852813491694404,sensor data,2,1,1,19051,14045
1503852813515464322,sensor data,2,1,1,19049,14057
1503852813530991255,sensor data,2,1,1,19046,14052
1503852813551116134,sensor data,2,1,1,19040,14049
1503852813570995302,sensor data,2,1,1,19066,14049
1503852813591053766,sensor data,2,1,1,19042,14047
1503852813611921403,sensor data,2,1,1,19049,14050
1503852813639043404,sensor data,2,1,1,19040,14043
1503852813652020600,sensor data,2,1,1,19040,14051
1503852813672036628,sensor data,2,1,1,19058,14051
1503852813692046715,sensor data,2,1,1,19062,14051
1503852813712430315,sensor data,2,1,1,19040,14055
1503852813732184344,sensor data,2,1,1,19043,14051
1503852813752464202,sensor data,2,1,1,19046,14044
1503852813772019012,sensor data,2,1,1,19046,14056
1503852813791853078,sensor data,2,1,1,19049,14043
1503852813812291609,sensor data,2,1,1,19052,14044
1503852813831963919,sensor data,2,1,1,19050,14046
1503852813851832817,sensor data,2,1,1,19052,14048
1503852813872572548,sensor data,2,1,1,19043,14055
1503852813891830638,sensor data,2,1,1,19048,14059
1503852813911942694,sensor data,2,1,1,19041,14044
1503852813931732825,sensor data,2,1,1,19058,14076
1503852813952088584,sensor data,2,1,1,19042,14046
1503852813971920615,sensor data,2,1,1,19043,14054
1503852813991954153,sensor data,2,1,1,19036,14049
1503852814012641684,sensor data,2,1,1,19048,14048
1503852814032419411,sensor data,2,1,1,19055,14048
1503852814052231286,sensor data,2,1,1,19051,14042
1503852814072042485,sensor data,2,1,1,19042,14050
1503852814093217931,sensor data,2,1,1,19050,14053
1503852814111946832,sensor data,2,1,1,19055,14045
1503852814132206171,sensor data,2,1,1,19061,14054
1503852814152204737,sensor data,2,1,1,19050,14079
